k,iteration,inertia,silhouette,elapsed_ms,partition_strategy
5,6,97.83642052178003,0.7232229791774544,405.72240352630615,DEFAULT
5,7,85.60686795655752,0.7232229791774544,405.72240352630615,DEFAULT
5,8,76.09499373916225,0.7232229791774544,405.72240352630615,DEFAULT
5,9,68.48549436524601,0.7232229791774544,405.72240352630615,DEFAULT
2,0,13064.282706089629,0.7814208416561267,572.3104953765869,OPTIMIZED
2,1,6532.141353044814,0.7814208416561267,572.3104953765869,OPTIMIZED
2,2,4354.760902029876,0.7814208416561267,572.3104953765869,OPTIMIZED
2,3,3266.070676522407,0.7814208416561267,572.3104953765869,OPTIMIZED
2,4,2612.856541217926,0.7814208416561267,572.3104953765869,OPTIMIZED
2,5,2177.380451014938,0.7814208416561267,572.3104953765869,OPTIMIZED
2,6,1866.326100869947,0.7814208416561267,572.3104953765869,OPTIMIZED
2,7,1633.0353382612036,0.7814208416561267,572.3104953765869,OPTIMIZED
2,8,1451.5869673432921,0.7814208416561267,572.3104953765869,OPTIMIZED
2,9,1306.428270608963,0.7814208416561267,572.3104953765869,OPTIMIZED
3,0,739.0254217718586,0.9797305638729691,376.46987438201904,OPTIMIZED
3,1,369.5127108859293,0.9797305638729691,376.46987438201904,OPTIMIZED
3,2,246.3418072572862,0.9797305638729691,376.46987438201904,OPTIMIZED
3,3,184.75635544296466,0.9797305638729691,376.46987438201904,OPTIMIZED
3,4,147.80508435437173,0.9797305638729691,376.46987438201904,OPTIMIZED
3,5,123.1709036286431,0.9797305638729691,376.46987438201904,OPTIMIZED
3,6,105.57506025312266,0.9797305638729691,376.46987438201904,OPTIMIZED
3,7,92.37817772148233,0.9797305638729691,376.46987438201904,OPTIMIZED
3,8,82.11393575242874,0.9797305638729691,376.46987438201904,OPTIMIZED
3,9,73.90254217718586,0.9797305638729691,376.46987438201904,OPTIMIZED
4,0,706.7638303657425,0.7259824711469561,577.121901512146,OPTIMIZED
4,1,353.38191518287124,0.7259824711469561,577.121901512146,OPTIMIZED
4,2,235.58794345524748,0.7259824711469561,577.121901512146,OPTIMIZED
4,3,176.69095759143562,0.7259824711469561,577.121901512146,OPTIMIZED
4,4,141.3527660731485,0.7259824711469561,577.121901512146,OPTIMIZED
4,5,117.79397172762374,0.7259824711469561,577.121901512146,OPTIMIZED
4,6,100.96626148082035,0.7259824711469561,577.121901512146,OPTIMIZED
4,7,88.34547879571781,0.7259824711469561,577.121901512146,OPTIMIZED
4,8,78.5293144850825,0.7259824711469561,577.121901512146,OPTIMIZED
4,9,70.67638303657425,0.7259824711469561,577.121901512146,OPTIMIZED
5,0,674.2670812378797,0.47326797263482456,466.245436668396,OPTIMIZED
5,1,337.13354061893983,0.47326797263482456,466.245436668396,OPTIMIZED
5,2,224.7556937459599,0.47326797263482456,466.245436668396,OPTIMIZED
5,3,168.56677030946992,0.47326797263482456,466.245436668396,OPTIMIZED
5,4,134.85341624757592,0.47326797263482456,466.245436668396,OPTIMIZED
5,5,112.37784687297994,0.47326797263482456,466.245436668396,OPTIMIZED
5,6,96.32386874826852,0.47326797263482456,466.245436668396,OPTIMIZED
5,7,84.28338515473496,0.47326797263482456,466.245436668396,OPTIMIZED
5,8,74.91856458198663,0.47326797263482456,466.245436668396,OPTIMIZED
5,9,67.42670812378796,0.47326797263482456,466.245436668396,OPTIMIZED
