run_id,term,format,latency_ms,frequency,doc_count,parquet_size_kb,csv_size_kb,timestamp
baseline,esports,parquet,413.5313034057617,5,5,1.505859375,0.5703125,2026-05-11T13:23:03.010773
baseline,championship,parquet,211.67516708374023,2,2,1.505859375,0.5703125,2026-05-11T13:23:03.010773
baseline,tournament,parquet,103.35493087768555,1,1,1.505859375,0.5703125,2026-05-11T13:23:03.010773
